Timestamp,Service,Message
2024-04-06 00:17:01,CRON,pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)
2024-04-06 00:17:01,CRON,pam_unix(cron:session): session closed for user root
2024-04-06 00:24:01,CRON,pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)
2024-04-06 00:24:01,CRON,pam_unix(cron:session): session closed for user root
2024-04-06 01:17:01,CRON,pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)
2024-04-06 01:17:01,CRON,pam_unix(cron:session): session closed for user root
2024-04-06 01:20:29,systemd-logind,"Creating /run/nologin, blocking further logins..."
2024-04-06 01:25:29,systemd-logind,System is powering down.
2024-04-06 01:25:29,lightdm,pam_unix(lightdm:session): session closed for user eduardovitor
2024-04-06 01:25:29,polkitd(authority=local),"Unregistered Authentication Agent for unix-session:c2 (system bus name :1.59, object path /org/gnome/PolicyKit1/AuthenticationAgent, locale en_US.UTF-8) (disconnected from bus)"
2024-04-06 06:52:40,systemd-logind,New seat seat0.
2024-04-06 06:52:40,systemd-logind,Watching system buttons on /dev/input/event2 (Power Button)
2024-04-06 06:52:40,systemd-logind,Watching system buttons on /dev/input/event1 (Power Button)
2024-04-06 06:52:40,systemd-logind,Watching system buttons on /dev/input/event0 (Lid Switch)
2024-04-06 06:52:40,systemd-logind,Watching system buttons on /dev/input/event3 (AT Translated Set 2 keyboard)
2024-04-06 06:52:41,lightdm,pam_unix(lightdm-greeter:session): session opened for user lightdm(uid=113) by (uid=0)
2024-04-06 06:52:41,systemd-logind,New session c1 of user lightdm.
2024-04-06 06:52:41,systemd,pam_unix(systemd-user:session): session opened for user lightdm(uid=113) by (uid=0)
2024-04-06 06:52:41,lightdm,gkr-pam: gnome-keyring-daemon started properly
2024-04-06 06:52:42,lightdm,"pam_succeed_if(lightdm:auth): requirement ""user ingroup nopasswdlogin"" not met by user ""eduardovitor"""
2024-04-06 06:52:45,lightdm,gkr-pam: unable to locate daemon control file
2024-04-06 06:52:45,lightdm,gkr-pam: stashed password to try later in open session
2024-04-06 06:52:46,lightdm,pam_unix(lightdm:session): session opened for user eduardovitor(uid=1000) by (uid=0)
2024-04-06 06:52:46,systemd-logind,Removed session c1.
2024-04-06 06:52:46,systemd-logind,New session c2 of user eduardovitor.
2024-04-06 06:52:46,systemd,pam_unix(systemd-user:session): session opened for user eduardovitor(uid=1000) by (uid=0)
2024-04-06 06:52:50,lightdm,gkr-pam: gnome-keyring-daemon started properly and unlocked keyring
2024-04-06 06:53:13,polkitd(authority=local),"Registered Authentication Agent for unix-session:c2 (system bus name :1.56 [/usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1], object path /org/gnome/PolicyKit1/AuthenticationAgent, locale en_US.UTF-8)"
2024-04-06 06:53:14,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
2024-04-06 06:53:14,pkexec,eduardovitor: Executing command [USER=root] [TTY=unknown] [CWD=/home/eduardovitor] [COMMAND=/usr/sbin/xfpm-power-backlight-helper --set-brightness-switch 0]
2024-04-06 06:53:20,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
2024-04-06 06:53:20,pkexec,eduardovitor: Executing command [USER=root] [TTY=unknown] [CWD=/home/eduardovitor] [COMMAND=/usr/sbin/xfpm-power-backlight-helper --set-brightness 9589]
2024-04-06 06:53:20,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
2024-04-06 06:53:20,pkexec,eduardovitor: Executing command [USER=root] [TTY=unknown] [CWD=/home/eduardovitor] [COMMAND=/usr/sbin/xfpm-power-backlight-helper --set-brightness 12674]
2024-04-06 06:53:21,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
2024-04-06 06:53:21,pkexec,eduardovitor: Executing command [USER=root] [TTY=unknown] [CWD=/home/eduardovitor] [COMMAND=/usr/sbin/xfpm-power-backlight-helper --set-brightness 13996]
2024-04-06 06:53:21,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
2024-04-06 06:53:21,pkexec,eduardovitor: Executing command [USER=root] [TTY=unknown] [CWD=/home/eduardovitor] [COMMAND=/usr/sbin/xfpm-power-backlight-helper --set-brightness 15979]
2024-04-06 06:53:21,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
2024-04-06 06:53:21,pkexec,eduardovitor: Executing command [USER=root] [TTY=unknown] [CWD=/home/eduardovitor] [COMMAND=/usr/sbin/xfpm-power-backlight-helper --set-brightness 17852]
2024-04-06 06:53:21,pkexec,pam_unix(polkit-1:session): session opened for user root(uid=0) by (uid=1000)
